"MTU (CET/CEST)","Area","Sequence","Day-ahead Price [EUR/MWh]","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|NL","Without sequence","99.0","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|NL","Without sequence","92.14","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|NL","Without sequence","88.0","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|NL","Without sequence","86.57","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|NL","Without sequence","79.87","",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|NL","Without sequence","84.08","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|NL","Without sequence","79.82","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|NL","Without sequence","76.76","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|NL","Without sequence","73.46","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|NL","Without sequence","71.86","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|NL","Without sequence","72.08","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|NL","Without sequence","74.9","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|NL","Without sequence","77.69","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|NL","Without sequence","81.79","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|NL","Without sequence","84.86","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|NL","Without sequence","87.14","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|NL","Without sequence","89.13","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|NL","Without sequence","88.66","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|NL","Without sequence","84.81","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|NL","Without sequence","84.34","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|NL","Without sequence","88.01","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|NL","Without sequence","93.42","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|NL","Without sequence","101.77","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|NL","Without sequence","104.85","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|NL","Without sequence","103.55","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|NL","Without sequence","100.5","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|NL","Without sequence","93.31","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|NL","Without sequence","91.17","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|NL","Without sequence","83.86","",""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|NL","Without sequence","87.02","",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|NL","Without sequence","84.35","",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|NL","Without sequence","81.71","",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|NL","Without sequence","79.0","",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|NL","Without sequence","78.47","",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|NL","Without sequence","82.1","",""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|NL","Without sequence","94.3","",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|NL","Without sequence","111.09","",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|NL","Without sequence","121.11","",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|NL","Without sequence","117.83","",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|NL","Without sequence","110.58","",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|NL","Without sequence","103.0","",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|NL","Without sequence","84.9","",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|NL","Without sequence","89.56","",""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|NL","Without sequence","100.0","",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|NL","Without sequence","107.98","",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|NL","Without sequence","116.39","",""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|NL","Without sequence","129.15","",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|NL","Without sequence","125.08","",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|NL","Without sequence","111.9","",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|NL","Without sequence","100.1","",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|NL","Without sequence","91.0","",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|NL","Without sequence","92.0","",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|NL","Without sequence","91.49","",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|NL","Without sequence","80.95","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|NL","Without sequence","79.98","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|NL","Without sequence","85.0","",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|NL","Without sequence","83.42","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|NL","Without sequence","80.57","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|NL","Without sequence","85.8","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|NL","Without sequence","83.9","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|NL","Without sequence","91.12","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|NL","Without sequence","125.7","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|NL","Without sequence","119.96","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|NL","Without sequence","98.0","",""
